Blade number,Wind speed (m/s), TSR,Turbine Speed, Cp
8,8.5,0.001329251,1.438583333,0.22176
8,8.5,0.005056694,5.472612554,0.20328
8,8.5,0.007753967,8.391739177,0.1848
8,8.5,0.009520763,10.30385606,0.16632
8,8.5,0.010456778,11.31685931,0.14784
8,8.5,0.010661704,11.53864069,0.12936
8,8.5,0.010235236,11.07709524,0.11088
8,8.5,0.009277067,10.0401158,0.0924
8,8.5,0.007886892,8.535597403,0.07392
8,8.5,0.006164403,6.671431818,0.05544
8,8.5,0.004209296,4.555515152,0.03696
8,8.5,0.002121264,2.29574026,0.01848
8,7.5,0.005362358,5.12066272,0.188496
8,7.5,0.009623381,9.189630443,0.167552
8,7.5,0.011360847,10.84878438,0.146608
8,7.5,0.011397128,10.8834301,0.125664
8,7.5,0.010380448,9.912574484,0.10472
8,7.5,0.008784883,8.388925707,0.083776
8,7.5,0.006910355,6.59888751,0.062832
8,7.5,0.00488264,4.662566845,0.041888
8,7.5,0.002653364,2.533770053,0.020944
8,6.5,0.003381234,2.798322002,0.169163077
8,6.5,0.007134032,5.90415177,0.144996923
8,6.5,0.008360194,6.918928062,0.120830769
8,6.5,0.007728535,6.396164693,0.096664615
8,6.5,0.005907871,4.889376305,0.072498462
8,6.5,0.003567016,2.952075885,0.048332308
8,6.5,0.001374788,1.13777973,0.024166154
8,5.5,0.003925237,2.748765406,0.11424
8,5.5,0.005335868,3.736602241,0.08568
8,5.5,0.004579443,3.206892857,0.05712
8,5.5,0.002514605,1.760927871,0.02856
16,8.5,0.000947092,1.024991342,0.35112
16,8.5,0.006579795,7.12099026,0.33264
16,8.5,0.011392792,12.32986147,0.31416
16,8.5,0.015419317,16.68757251,0.29568
16,8.5,0.018692598,20.23008442,0.2772
16,8.5,0.021245869,22.99336472,0.25872
16,8.5,0.023112359,25.01337554,0.24024
16,8.5,0.024325301,26.32608333,0.22176
16,8.5,0.024917926,26.96745238,0.20328
16,8.5,0.024923464,26.97344589,0.1848
16,8.5,0.024375148,26.3800303,0.16632
16,8.5,0.023306208,25.22316883,0.14784
16,8.5,0.021749876,23.53882684,0.12936
16,8.5,0.019739384,21.3629697,0.11088
16,8.5,0.017307961,18.73155952,0.0924
16,8.5,0.014488841,15.68056385,0.07392
16,8.5,0.011315253,12.24594481,0.05544
16,8.5,0.007820429,8.463667749,0.03696
16,8.5,0.004037601,4.369698052,0.01848
16,7.5,0.00408768,3.903437739,0.272272
16,7.5,0.010835979,10.34757353,0.251328
16,7.5,0.015875031,15.15950248,0.230384
16,7.5,0.019349962,18.4778094,0.20944
16,7.5,0.021405896,20.44107716,0.188496
16,7.5,0.022187957,21.18788866,0.167552
16,7.5,0.02184127,20.85682773,0.146608
16,7.5,0.02051096,19.58647823,0.125664
16,7.5,0.018342152,17.51542399,0.10472
16,7.5,0.01547997,14.7822479,0.083776
16,7.5,0.012069539,11.5255338,0.062832
16,7.5,0.008255984,7.883865546,0.041888
16,7.5,0.004184429,3.995826012,0.020944
16,6.5,0.000544961,0.451011777,0.265827692
16,6.5,0.009908378,8.200210975,0.241661538
16,6.5,0.016051573,13.28434231,0.217495385
16,6.5,0.019420422,16.07241444,0.193329231
16,6.5,0.020460802,16.93343685,0.169163077
16,6.5,0.019618589,16.23641819,0.144996923
16,6.5,0.017339662,14.35036962,0.120830769
16,6.5,0.014069897,11.64429978,0.096664615
16,6.5,0.010255172,8.487218997,0.072498462
16,6.5,0.006341362,5.24813509,0.048332308
16,6.5,0.002774346,2.296059206,0.024166154
16,5.5,0.009158885,6.413785014,0.22848
16,5.5,0.015169404,10.62283193,0.19992
16,5.5,0.017663564,12.36944258,0.17136
16,5.5,0.017377349,12.1690119,0.1428
16,5.5,0.01504674,10.53693277,0.11424
16,5.5,0.011407719,7.988598739,0.08568
16,5.5,0.007196267,5.039402661,0.05712
16,5.5,0.003148367,2.204738796,0.02856
16,4.5,0.007465263,4.277270626,0.139626667
16,4.5,0.009518211,5.453520435,0.10472
16,4.5,0.009704842,5.560451872,0.069813333
16,4.5,0.008025158,4.598066081,0.034906667
24,8.5,0.028246593,30.56990584,0.5544
24,8.5,0.038763519,41.95186039,0.53592
24,8.5,0.047689996,51.61254978,0.51744
24,8.5,0.055147651,59.68360498,0.49896
24,8.5,0.061252792,66.29090043,0.48048
24,8.5,0.066116412,71.55455844,0.462
24,8.5,0.069844187,75.58894697,0.44352
24,8.5,0.072536475,78.50267857,0.42504
24,8.5,0.074288317,80.39861147,0.40656
24,8.5,0.075189439,81.37385173,0.38808
24,8.5,0.075324247,81.51974784,0.3696
24,8.5,0.074771833,80.92189719,0.35112
24,8.5,0.073605968,79.66013853,0.33264
24,8.5,0.071895111,77.80856169,0.31416
24,8.5,0.0697024,75.43549784,0.29568
24,8.5,0.067085658,72.60352597,0.2772
24,8.5,0.06409739,69.3694697,0.25872
24,8.5,0.060784785,65.78439935,0.24024
24,8.5,0.057189713,61.89362879,0.22176
24,8.5,0.05334873,57.73672078,0.20328
24,8.5,0.049293074,53.34748268,0.1848
24,8.5,0.045048663,48.75396429,0.16632
24,8.5,0.040636102,43.97846537,0.14784
24,8.5,0.036070677,39.03752922,0.12936
24,8.5,0.031362358,33.94194589,0.11088
24,8.5,0.026515797,28.69675,0.0924
24,8.5,0.021530328,23.30122078,0.07392
24,8.5,0.016399972,17.74888745,0.05544
